fish_id,weight,spec,rounds,first_in_time,outbound_time,dwell_time,status,reflow_reasons
425,236,40p,1,425,864,439,packed,
426,71,140p,1,426,1056,630,packed,
427,206,50p,1,427,489,62,packed,
428,105,100p,1,428,1045,617,packed,
429,69,140p,1,429,1056,627,packed,
430,70,140p,1,430,1056,626,packed,
431,79,130p,1,431,1188,757,packed,
432,93,110p,1,432,961,529,packed,
433,681,15p,3,433,519,86,packed,timeout|timeout
434,71,140p,1,434,1056,622,packed,
435,91,110p,1,435,961,526,packed,
436,478,20p,1,436,446,10,packed,
437,226,45p,1,437,1131,694,packed,
438,83,120p,1,438,1343,905,packed,
439,355,30p,3,439,589,150,packed,timeout|timeout
440,267,35p,3,440,831,391,packed,timeout|timeout
441,575,15p,3,441,519,78,packed,timeout|timeout
442,98,100p,1,442,1045,603,packed,
443,109,90p,1,443,702,259,packed,
444,121,80p,1,444,741,297,packed,
445,115,90p,1,445,702,257,packed,
446,85,120p,1,446,1343,897,packed,
447,697,15p,81,447,3057,2610,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
448,218,45p,1,448,604,156,packed,
449,89,110p,1,449,961,512,packed,
450,206,50p,1,450,489,39,packed,
451,194,50p,1,451,489,38,packed,
452,240,40p,1,452,864,412,packed,
453,328,30p,2,453,589,136,packed,timeout
454,87,110p,1,454,961,507,packed,
455,65,150p,1,455,1435,980,packed,
456,195,50p,1,456,489,33,packed,
457,178,60p,1,457,705,248,packed,
458,289,35p,1,458,676,218,packed,
459,145,70p,1,459,620,161,packed,
460,141,70p,1,460,620,160,packed,
461,221,45p,1,461,1131,670,packed,
462,179,60p,1,462,705,243,packed,
463,429,25p,5,463,614,151,packed,timeout|timeout|timeout|timeout
464,404,25p,5,464,614,150,packed,timeout|timeout|timeout|timeout
465,70,140p,1,465,1056,591,packed,
466,79,130p,1,466,1188,722,packed,
467,83,120p,1,467,1343,876,packed,
468,84,120p,1,468,1343,875,packed,
469,81,120p,1,469,1343,874,packed,
470,105,100p,1,470,1045,575,packed,
471,180,60p,1,471,705,234,packed,
472,110,90p,1,472,702,230,packed,
473,189,50p,1,473,489,16,packed,
474,465,20p,3,474,539,65,packed,timeout|timeout
475,73,140p,1,475,1056,581,packed,
476,216,45p,1,476,604,128,packed,
477,346,30p,2,477,589,112,packed,timeout
478,264,40p,1,478,864,386,packed,
479,89,110p,1,479,961,482,packed,
480,69,140p,1,480,1056,576,packed,
481,574,15p,2,481,519,38,packed,timeout
482,257,40p,1,482,864,382,packed,
483,73,140p,1,483,1056,573,packed,
484,65,150p,1,484,1435,951,packed,
485,168,60p,1,485,705,220,packed,
486,465,20p,2,486,539,53,packed,timeout
487,117,80p,1,487,741,254,packed,
488,106,90p,1,488,702,214,packed,
489,198,50p,1,489,489,0,packed,
490,109,90p,1,490,702,212,packed,
491,79,130p,1,491,1188,697,packed,
492,73,140p,1,492,1056,564,packed,
493,98,100p,1,493,1045,552,packed,
494,254,40p,1,494,864,370,packed,
495,215,45p,1,495,604,109,packed,
496,280,35p,1,496,676,180,packed,
497,448,20p,2,497,539,42,packed,timeout
498,120,80p,1,498,1719,1221,packed,
499,263,40p,1,499,864,365,packed,
500,266,35p,3,500,831,331,packed,timeout|timeout
501,72,140p,1,501,1056,555,packed,
502,74,130p,1,502,1188,686,packed,
503,104,100p,1,503,1045,542,packed,
504,159,60p,1,504,705,201,packed,
505,107,90p,1,505,702,197,packed,
506,201,50p,1,506,1077,571,packed,
507,203,50p,1,507,1077,570,packed,
508,67,150p,1,508,1435,927,packed,
509,212,45p,1,509,604,95,packed,
510,121,80p,1,510,1719,1209,packed,
511,72,140p,1,511,1056,545,packed,
512,197,50p,1,512,1077,565,packed,
513,399,25p,4,513,614,101,packed,timeout|timeout|timeout
514,278,35p,1,514,831,317,packed,
515,69,140p,1,515,1056,541,packed,
516,257,40p,1,516,864,348,packed,
517,94,110p,1,517,961,444,packed,
518,76,130p,1,518,1188,670,packed,
519,581,15p,1,519,519,0,packed,
520,96,100p,1,520,1045,525,packed,
521,302,35p,1,521,676,155,packed,
522,154,60p,1,522,705,183,packed,
523,641,15p,2,523,577,54,packed,timeout
524,463,20p,1,524,539,15,packed,
525,222,45p,1,525,1131,606,packed,
526,314,30p,2,526,589,63,packed,timeout
527,99,100p,1,527,1045,518,packed,
528,199,50p,1,528,1077,549,packed,
529,249,40p,1,529,864,335,packed,
530,205,50p,1,530,1077,547,packed,
531,177,60p,1,531,705,174,packed,
532,86,120p,1,532,1343,811,packed,
533,174,60p,1,533,705,172,packed,
534,211,45p,1,534,604,70,packed,
535,133,70p,1,535,620,85,packed,
536,308,30p,2,536,589,53,packed,timeout
537,225,45p,1,537,1131,594,packed,
538,322,30p,1,538,589,51,packed,
539,457,20p,1,539,539,0,packed,
540,110,90p,1,540,702,162,packed,
541,373,25p,6,541,706,165,packed,timeout|timeout|timeout|timeout|timeout
542,93,110p,1,542,961,419,packed,
543,386,25p,6,543,706,163,packed,timeout|timeout|timeout|timeout|timeout
544,71,140p,1,544,1056,512,packed,
545,427,25p,3,545,614,69,packed,timeout|timeout
546,220,45p,1,546,1131,585,packed,
547,661,15p,1,547,577,30,packed,
548,311,30p,9,548,821,273,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
